Keys,English,Vietnamese,Chinese (Simplified),$Chinese (Traditional),Japanese,French,German,Spanish,Portuguese [pt-PT],Arabic,Russian,Korean,Italian,Hindi,Philipine [tl],Indo,Thai,Turkis
TXT_NOTIFICATION_MESSAGE_ FIRST_PURCHASE,Congratulations! You're eligible for our First Purchase Benefit. buy any package in the shop to claim your special reward!,Chúc mừng! Bạn đủ điều kiện nhận Quyền lợi mua hàng lần đầu của chúng tôi. mua bất kỳ gói nào trong cửa hàng để nhận phần thưởng đặc biệt của bạn!,恭喜！您有资格享受我们的首次购买优惠。在商店购买任意礼包即可领取特别奖励！,,おめでとう！初回購入特典の対象となります。ショップでパッケージを購入して特別な報酬を獲得してください!,Félicitations! Vous êtes éligible à notre avantage premier achat. achetez n'importe quel package dans la boutique pour réclamer votre récompense spéciale !,"Glückwunsch! Sie haben Anspruch auf unseren Erstkaufvorteil. Kaufen Sie ein beliebiges Paket im Shop, um Ihre besondere Belohnung zu erhalten!",¡Felicidades! Eres elegible para nuestro beneficio de primera compra. ¡Compre cualquier paquete en la tienda para reclamar su recompensa especial!,Parabéns! Você tem direito ao nosso benefício de primeira compra. compre qualquer pacote na loja para reivindicar sua recompensa especial!,تهانينا! أنت مؤهل للحصول على ميزة الشراء الأولى لدينا. قم بشراء أي باقة من المتجر لتحصل على مكافأتك الخاصة!,Поздравляем! Вы имеете право на нашу льготу на первую покупку. купите любой набор в магазине и получите особую награду!,축하해요! 첫 구매 혜택을 받으실 수 있습니다. 특별한 보상을 받으려면 상점에서 패키지를 구매하세요!,Congratulazioni! Hai diritto al nostro vantaggio sul primo acquisto. acquista qualsiasi pacchetto nel negozio per richiedere il tuo premio speciale!,बधाई हो! आप हमारे प्रथम खरीद लाभ के लिए पात्र हैं। अपने विशेष इनाम का दावा करने के लिए दुकान से कोई भी पैकेज खरीदें!,Binabati kita! Kwalipikado ka para sa aming First Purchase Benefit. bumili ng kahit anong package sa shop para makuha ang iyong espesyal na reward!,Selamat! Anda berhak mendapatkan Manfaat Pembelian Pertama kami. beli paket apa pun di toko untuk mengklaim hadiah spesial Anda!,ยินดีด้วย! คุณมีสิทธิ์ได้รับสิทธิประโยชน์ในการซื้อครั้งแรกของเรา ซื้อแพ็คเกจใดก็ได้ในร้านเพื่อรับรางวัลพิเศษของคุณ!,Tebrikler! İlk Satın Alma Avantajımızdan yararlanmaya hak kazandınız. Özel ödülünüzü almak için mağazadan herhangi bir paketi satın alın!
TXT_NOTIFICATION_MESSAGE_ SHOP_REFRESH,It's shopping time! Grid Wars's store has been restocked with new items. Tap & play!,Đó là thời gian mua sắm! Cửa hàng của Grid Wars đã được bổ sung thêm các vật phẩm mới. Nhấn và chơi!,购物时间到了！ Grid Wars 商店已重新进货新商品。点击并播放！,,買い物の時間だよ！ Grid Wars のストアに新しいアイテムが再入荷しました。タップ＆プレイ！,C'est l'heure des achats ! La boutique de Grid Wars a été réapprovisionnée avec de nouveaux articles. Appuyez et jouez !,Es ist Shopping-Zeit! Der Laden von Grid Wars wurde mit neuen Artikeln aufgefüllt. Tippen und spielen!,¡Es hora de comprar! La tienda de Grid Wars se ha reabastecido con nuevos artículos. ¡Toca y juega!,É hora de fazer compras! A loja do Grid Wars foi reabastecida com novos itens. Toque e jogue!,إنه وقت التسوق! تمت إعادة تزويد متجر Grid Wars بعناصر جديدة. اضغط واللعب!,Пришло время покупок! Магазин Grid Wars пополнился новыми предметами. Нажмите и играйте!,쇼핑 시간이에요! 그리드워즈 매장에 새로운 아이템이 재입고되었습니다. 탭 앤 플레이!,È tempo di fare acquisti! Il negozio di Grid Wars è stato rifornito con nuovi articoli. Tocca e gioca!,यह खरीदारी का समय है! ग्रिड वॉर्स का स्टोर नई वस्तुओं से भर गया है। टैप करें और खेलें!,Oras na ng pamimili! Ang tindahan ng Grid Wars ay na-restock na ng mga bagong item. I-tap at maglaro!,Saatnya berbelanja! Toko Grid Wars telah diisi ulang dengan item baru. Ketuk & mainkan!,ถึงเวลาช้อปปิ้งแล้ว! ร้านค้าของ Grid Wars ได้รับการเติมสินค้าใหม่แล้ว แตะและเล่น!,Alışveriş zamanı! Grid Wars'un mağazası yeni ürünlerle yeniden dolduruldu. Dokun ve oyna!
TXT_NOTIFICATION_MESSAGE_LEAGUE_CHEST,"Ready to test your skills against real players? Big rewards, ranking glory, and exclusive loot await! 🏆🔥
Jump in and claim your place at the top!
👉 Tap to battle now!","Sẵn sàng để kiểm tra kỹ năng của bạn với những người chơi thực sự? Phần thưởng lớn, vinh quang xếp hạng và chiến lợi phẩm độc quyền đang chờ đợi! 🏆🔥
Nhảy vào và khẳng định vị trí của bạn ở trên cùng!
👉 Nhấn để chiến đấu ngay bây giờ!","准备好与真正的玩家测试你的技能了吗？丰厚奖励、排名荣耀和独家战利品等待着您！ 🏆🔥
加入并在顶部占据一席之地！
👉 点击立即战斗！",,"実際のプレイヤーを相手に自分のスキルをテストする準備はできていますか?大きな報酬、ランキングの栄光、特別な戦利品が待っています! 🏆🔥
飛び込んでトップの座を主張しましょう！
👉 今すぐタップしてバトルしましょう！","Prêt à tester vos compétences contre de vrais joueurs ? De grosses récompenses, une gloire de classement et un butin exclusif vous attendent ! 🏆🔥
Lancez-vous et revendiquez votre place au sommet !
👉 Appuyez pour combattre maintenant !","Sind Sie bereit, Ihre Fähigkeiten gegen echte Spieler zu testen? Große Belohnungen, Ranglisten-Ruhm und exklusive Beute erwarten Sie! 🏆🔥
Steigen Sie ein und sichern Sie sich Ihren Platz an der Spitze!
👉 Jetzt tippen, um zu kämpfen!","¿Listo para poner a prueba tus habilidades contra jugadores reales? ¡Te esperan grandes recompensas, gloria en el ranking y botín exclusivo! 🏆🔥
¡Salta y reclama tu lugar en la cima!
👉 ¡Toca para luchar ahora!","Pronto para testar suas habilidades contra jogadores reais? Grandes recompensas, glória no ranking e itens exclusivos aguardam! 🏆🔥
Entre e garanta seu lugar no topo!
👉 Toque para lutar agora!","هل أنت مستعد لاختبار مهاراتك ضد لاعبين حقيقيين؟ مكافآت كبيرة ومجد التصنيف والغنائم الحصرية في انتظارك! 🏆🔥
بادر بالمطالبة بمكانك في الأعلى!
👉 اضغط للمعركة الآن!","Готовы проверить свои навыки против реальных игроков? Вас ждут большие награды, рейтинговая слава и эксклюзивная добыча! 🏆🔥
Присоединяйтесь и займите свое место на вершине!
👉 Нажмите, чтобы сражаться прямо сейчас!","실제 플레이어를 상대로 자신의 실력을 테스트할 준비가 되셨나요? 큰 보상, 순위 영광, 독점 전리품이 기다리고 있습니다! 🏆🔥
뛰어들어 정상에 오르세요!
👉 지금 탭해서 전투하세요!","Pronto a mettere alla prova le tue abilità contro giocatori reali? Ti aspettano grandi ricompense, gloria in classifica e bottini esclusivi! 🏆🔥
Entra e rivendica il tuo posto in cima!
👉 Tocca per combattere adesso!","असली खिलाड़ियों के विरुद्ध अपने कौशल का परीक्षण करने के लिए तैयार हैं? बड़े पुरस्कार, रैंकिंग गौरव और विशेष लूट की प्रतीक्षा है! 🏆🔥
कूदें और शीर्ष पर अपनी जगह का दावा करें!
👉 अभी युद्ध करने के लिए टैप करें!","Handa nang subukan ang iyong mga kasanayan laban sa mga tunay na manlalaro? Malaking premyo, ranggo ng kaluwalhatian, at eksklusibong pagnakawan ang naghihintay! 🏆🔥
Tumalon at kunin ang iyong lugar sa itaas!
👉 I-tap upang labanan ngayon!","Siap menguji kemampuan Anda melawan pemain sungguhan? Hadiah besar, kejayaan peringkat, dan jarahan eksklusif menanti! 🏆🔥
Masuklah dan klaim tempat Anda di puncak!
👉 Ketuk untuk bertarung sekarang!","พร้อมที่จะทดสอบทักษะของคุณกับผู้เล่นจริงแล้วหรือยัง? รางวัลใหญ่ เกียรติยศอันดับ และของสมนาคุณสุดพิเศษรออยู่!
กระโดดเข้ามาและรับตำแหน่งของคุณที่ด้านบน!
👉 แตะเพื่อต่อสู้ทันที!","Becerilerinizi gerçek oyunculara karşı test etmeye hazır mısınız? Büyük ödüller, sıralama zaferi ve özel ganimet sizi bekliyor! 🏆🔥
Hemen katılın ve zirvedeki yerinizi alın!
👉 Şimdi savaşmak için dokunun!"
TXT_NOTIFICATION_MESSAGE_MAINTENANCE_DONE,"We’re back online! Time to jump in and play — smoother, faster, and better than ever! 🚀
Thanks for your patience ❤️
👉 Tap to return to the game!","Chúng tôi đã trực tuyến trở lại! Đã đến lúc bắt đầu và chơi - mượt mà hơn, nhanh hơn và tốt hơn bao giờ hết! 🚀
Cảm ơn sự kiên nhẫn của bạn ❤️
👉 Nhấn để quay lại trò chơi!","我们恢复上线了！是时候开始玩游戏了——比以往更流畅、更快、更好！ 🚀
感谢您的耐心等待❤️
👉 点击返回游戏！",,"オンラインに戻りました!すぐにプレイしてみませんか。これまでよりもスムーズ、高速、そして優れています。 🚀
お待ちいただきありがとうございます❤️
👉 タップしてゲームに戻ります!","Nous sommes de retour en ligne ! Il est temps de se lancer et de jouer : plus fluide, plus rapide et meilleur que jamais ! 🚀
Merci pour votre patience ❤️
👉 Appuyez pour revenir au jeu !","Wir sind wieder online! Zeit zum Einsteigen und Spielen – flüssiger, schneller und besser als je zuvor! 🚀
Danke für deine Geduld ❤️
👉 Tippen Sie hier, um zum Spiel zurückzukehren!","¡Estamos de nuevo en línea! Es hora de saltar y jugar: ¡más fluido, más rápido y mejor que nunca! 🚀
Gracias por tu paciencia ❤️
👉 ¡Toca para volver al juego!","Estamos on-line novamente! É hora de entrar e jogar — mais suave, mais rápido e melhor do que nunca! 🚀
Obrigada pela paciência ❤️
👉 Toque para retornar ao jogo!","لقد عدنا إلى الإنترنت! حان الوقت للانطلاق واللعب — بشكل أكثر سلاسة وأسرع وأفضل من أي وقت مضى! 🚀
شكرا لصبركم ❤️
👉 اضغط للعودة إلى اللعبة!","Мы снова онлайн! Пришло время начать играть — еще плавнее, быстрее и лучше, чем когда-либо! 🚀
Спасибо за терпение ❤️
👉 Нажмите, чтобы вернуться в игру!","우리가 다시 온라인에 돌아왔습니다! 뛰어들어 플레이할 시간입니다. 그 어느 때보다 더 부드럽고, 빠르고, 더 좋아졌습니다! 🚀
기다려주셔서 감사합니다 ❤️
👉 게임으로 돌아가려면 탭하세요!","Siamo di nuovo online! È ora di entrare e giocare: più fluido, più veloce e migliore che mai! 🚀
Grazie per la pazienza ❤️
👉 Tocca per tornare al gioco!","हम ऑनलाइन वापस आ गए हैं! इसमें कूदने और खेलने का समय - पहले से कहीं अधिक सहज, तेज और बेहतर! 🚀
आपके धैर्य के लिए धन्यवाद ❤️
👉 गेम पर लौटने के लिए टैप करें!","Online na ulit kami! Oras na para tumalon at maglaro — mas makinis, mas mabilis, at mas mahusay kaysa dati! 🚀
Salamat sa iyong pasensya ❤️
👉 I-tap para bumalik sa laro!","Kami kembali online! Saatnya untuk terjun dan bermain — lebih lancar, lebih cepat, dan lebih baik dari sebelumnya! 🚀
Terima kasih atas kesabaran Anda ❤️
👉 Ketuk untuk kembali ke permainan!","เรากลับมาออนไลน์แล้ว! ถึงเวลาที่จะกระโดดและเล่น — ราบรื่นยิ่งขึ้น เร็วขึ้น และดียิ่งขึ้นกว่าเดิม!
ขอบคุณสำหรับความอดทนของคุณ ❤️
👉 แตะเพื่อกลับเข้าสู่เกม!","Tekrar çevrimiçiyiz! Atlama ve oynama zamanı; her zamankinden daha akıcı, daha hızlı ve daha iyi! 🚀
Sabrınız için teşekkürler ❤️
👉 Oyuna dönmek için dokunun!"
TXT_NOTIFICATION_MESSAGE_SEASON_START,"Big rewards, epic loot, and exclusive bonuses are waiting for you! 💎🔥 Play now and start climbing the tiers — don’t miss out!","Phần thưởng lớn, chiến lợi phẩm hoành tráng và tiền thưởng độc quyền đang chờ đợi bạn! 💎🔥 Chơi ngay và bắt đầu leo ​​hạng - đừng bỏ lỡ!",丰厚的奖励、史诗般的战利品和专属奖金正在等待着您！ 💎🔥 立即玩并开始攀登等级——不要错过！,,大きな報酬、壮大な戦利品、限定ボーナスがあなたを待っています! 💎🔥 今すぐプレイして段階を登り始めましょう — お見逃しなく!,"De grosses récompenses, un butin épique et des bonus exclusifs vous attendent ! 💎🔥 Jouez maintenant et commencez à gravir les échelons – ne manquez pas cette occasion !","Große Belohnungen, epische Beute und exklusive Boni warten auf Sie! 💎🔥 Spielen Sie jetzt und beginnen Sie, die Ränge zu erklimmen – verpassen Sie es nicht!","¡Te esperan grandes recompensas, botines épicos y bonificaciones exclusivas! 💎🔥 Juega ahora y comienza a subir de nivel. ¡No te lo pierdas!","Grandes recompensas, saques épicos e bônus exclusivos estão esperando por você! 💎🔥 Jogue agora e comece a subir de nível — não perca!",مكافآت كبيرة وغنائم ملحمية ومكافآت حصرية في انتظارك! 💎🔥 العب الآن وابدأ في تسلق المستويات - لا تفوت الفرصة!,"Вас ждут большие награды, эпическая добыча и эксклюзивные бонусы! 💎🔥 Играйте сейчас и начните подниматься по уровням — не пропустите!","큰 보상, 엄청난 전리품, 독점 보너스가 여러분을 기다리고 있습니다! 💎🔥 지금 플레이하고 등급을 올려보세요. 놓치지 마세요!","Grandi ricompense, bottini epici e bonus esclusivi ti stanno aspettando! 💎🔥 Gioca ora e inizia a scalare i livelli: non perdertelo!","बड़े पुरस्कार, महाकाव्य लूट और विशेष बोनस आपका इंतजार कर रहे हैं! 💎🔥 अभी खेलें और स्तरों पर चढ़ना शुरू करें - चूकें नहीं!","Malaking reward, epic loot, at eksklusibong bonus ang naghihintay para sa iyo! 💎🔥 Maglaro ngayon at simulan ang pag-akyat sa mga tier — huwag palampasin!","Hadiah besar, jarahan epik, dan bonus eksklusif menanti Anda! 💎🔥 Mainkan sekarang dan mulai naiki levelnya — jangan sampai ketinggalan!",รางวัลใหญ่ ของรางวัลระดับมหากาพย์ และโบนัสพิเศษกำลังรอคุณอยู่! 💎🔥 เล่นเลยและเริ่มไต่ระดับ — อย่าพลาด!,"Büyük ödüller, destansı ganimetler ve özel bonuslar seni bekliyor! 💎🔥 Şimdi oynayın ve aşamaları tırmanmaya başlayın; bu fırsatı kaçırmayın!"
TXT_NOTIFICATION_TITLE_ FIRST_PURCHASE,EXCLUSIVE FIRST PURCHASE BENEFIT!,Lợi Ích Mua Hàng Đầu Tiên Độc Quyền!,独家首购福利！,,限定初回購入特典！,Avantage Exclusif Pour Le Premier Achat !,Exklusiver Erstkaufvorteil!,¡Beneficio Exclusivo De Primera Compra!,Benefício Exclusivo De Primeira Compra!,فائدة الشراء الأولى الحصرية!,Эксклюзивная Выгода При Первой Покупке!,첫구매 독점혜택!,Vantaggio Esclusivo Sul Primo Acquisto!,विशेष पहली खरीद लाभ!,Eksklusibong Benepisyo Sa Unang Pagbili!,Manfaat Pembelian Pertama Eksklusif!,สิทธิพิเศษในการซื้อครั้งแรก!,Özel Ilk Satın Alma Avantajı!
TXT_NOTIFICATION_TITLE_ SHOP_REFRESH,SHOP STOCK REFRESHED,Cửa Hàng Đã Làm Mới Kho Hàng,店铺库存已刷新,,ショップの在庫が更新されました,Stock Du Magasin Rafraîchi,Shop-Bestand Aktualisiert,Stock De La Tienda Actualizado,Estoque Da Loja Atualizado,تم تحديث مخزون المتجر,Ассортимент Магазина Обновлен,상점 재고 새로 고침,Stock Del Negozio Aggiornato,दुकान का स्टॉक ताज़ा किया गया,Na-Refresh Ang Stock Ng Tindahan,Stok Toko Disegarkan,ร้านค้ารีเฟรชสต็อกแล้ว,Mağaza Stoğu Yenilendi
TXT_NOTIFICATION_TITLE_LEAGUE_CHEST,⚔️ PVP Mode is Now Open!,⚔️ Chế độ PVP hiện đã mở!,⚔️PVP模式现已开放！,,⚔️ PVPモードがオープンしました！,⚔️ Le mode PVP est maintenant ouvert !,⚔️ Der PVP-Modus ist jetzt geöffnet!,⚔️ ¡El modo PvP ya está abierto!,⚔️ O modo PVP está aberto!,⚔️ وضع PVP مفتوح الآن!,⚔️ Режим PVP открыт!,⚔️ PVP 모드가 오픈되었습니다!,⚔️ La modalità PVP è ora aperta!,⚔️ पीवीपी मोड अब खुला है!,⚔️ Bukas na Ngayon ang PVP Mode!,⚔️ Mode PVP Sekarang Dibuka!,⚔️ โหมด PVP เปิดให้บริการแล้ว!,⚔️ PVP Modu Artık Açık!
TXT_NOTIFICATION_TITLE_MAINTENANCE_DONE,✅ Maintenance Complete!,✅ Bảo Trì Hoàn Tất!,✅ 保养完成！,,✅メンテナンス完了！,✅Entretien Terminé !,✅ Wartung Abgeschlossen!,✅ Mantenimiento Completo!,✅ Manutenção Completa!,✅ تم الانتهاء من الصيانة!,✅ Техническое Обслуживание Завершено!,✅ 점검 완료!,✅Manutenzione Completata!,✅ रखरखाव पूरा!,✅ Kumpleto Na Ang Maintenance!,✅ Pemeliharaan Selesai!,✅ บำรุงรักษาครบ!,✅Bakım Tamamlandı!
TXT_NOTIFICATION_TITLE_SEASON_START,🎉 New Season Pass is LIVE!,🎉 Thẻ mùa giải mới đã TRỰC TIẾP!,🎉 新季票已上线！,,🎉 新しいシーズンパスがリリースされました!,🎉 Le nouveau Season Pass est LIVE !,🎉 Der neue Saisonpass ist LIVE!,🎉 ¡El nuevo pase de temporada está EN VIVO!,🎉 O novo passe de temporada está AO VIVO!,🎉 بطاقة الموسم الجديد متاحة الآن!,🎉 Новый сезонный абонемент уже доступен!,🎉 새로운 시즌 패스가 출시되었습니다!,🎉 Il nuovo Season Pass è LIVE!,🎉 नया सीज़न पास लाइव है!,🎉 Ang Bagong Season Pass ay LIVE!,🎉 Tiket Masuk Musim Baru sedang LANGSUNG!,🎉 บัตรผ่านฤดูกาลใหม่ใช้งานได้แล้ว!,🎉 Yeni Sezon Bileti Yayında!
