Keys,English,Vietnamese,Chinese (Simplified),Japanese,French,German,Spanish,Portuguese [pt-PT],Arabic,Russian,Korean,Italian,Hindi,Philipine [tl],Indo,Thai,Turkis
TXT_AD_CANCELLED,Reward Ad is cancelled,Quảng cáo phần thưởng bị hủy,奖励广告已取消,リワード広告がキャンセルされました,L'annonce de récompense est annulée,Die Prämienanzeige wurde storniert,Anuncio de recompensa cancelado,O anúncio de recompensa foi cancelado,تم إلغاء إعلان المكافأة,Объявление о вознаграждении отменено,보상 광고가 취소됨,L'annuncio premio è stato annullato,इनाम विज्ञापन रद्द कर दिया गया है,Kinansela ang Reward Ad,Iklan Hadiah dibatalkan,โฆษณารางวัลถูกยกเลิก,Ödüllü Reklam iptal edildi
TXT_ALREADY_LINKED_ACCOUNT,Already Linked Account,Tài Khoản Đã Được Liên Kết,已关联帐户,すでにリンクされているアカウント,Compte Déjà Lié,Bereits Verknüpftes Konto,Cuenta Ya Vinculada,Conta Já Vinculada,حساب مرتبط بالفعل,Уже Связанный Аккаунт,이미 연결된 계정,Account Già Collegato,पहले से ही लिंक किया गया खाता,Naka-Link Na Account,Sudah Menghubungkan Akun,เชื่อมโยงบัญชีแล้ว,Zaten Bağlı Hesap
TXT_ALREADY_PURCHASED,Already Purchased!,Đã Mua!,已经购买了！,購入済み！,Déjà Acheté!,Bereits Gekauft!,¡Ya Comprado!,Já Comprado!,مباع!,Уже Купили!,이미 구매했습니다!,Già Acquistato!,पहले से ही खरीदा!,Nabili Na!,Telah Dibeli!,ซื้อแล้ว!,Zaten Satın Alındı!
TXT_BATTLE_WILL_END_SOON,Battle Will End Soon !,Trận Chiến Sẽ Sớm Kết Thúc!,战斗很快就会结束！,戦いはもうすぐ終わります！,La Bataille Va Bientôt Se Terminer !,Der Kampf Wird Bald Enden!,¡La Batalla Terminará Pronto!,A Batalha Terminará Em Breve!,المعركة ستنتهي قريبا!,Битва Скоро Закончится!,전투는 곧 끝납니다!,La Battaglia Finirà Presto!,लड़ाई जल्द ही खत्म हो जाएगी!,Malapit Nang Matapos Ang Labanan!,Pertempuran Akan Segera Berakhir!,การต่อสู้จะจบลงในไม่ช้า!,Savaş Yakında Sona Erecek!
TXT_CANNOT_SURRENDER,Cannot Surrender Until Round 4!,Không Thể Đầu Hàng Cho Đến Vòng 4!,不到第四轮就不能投降！,ラウンド4まで降伏はできません！,Ne Peut Pas Se Rendre Avant Le Tour 4 !,Kann Erst In Runde 4 Aufgeben!,No Puede Rendirse Hasta La Ronda 4!,Não Pode Se Render Até A Rodada 4!,لا يمكن الاستسلام حتى الجولة الرابعة!,Не Может Сдаться До 4 Раунда!,4 라운드까지 항복할 수 없습니다!,Non Può Arrendersi Fino Al Round 4!,राउंड 4 तक आत्मसमर्पण नहीं कर सकते!,Hindi Pwedeng Sumuko Hanggang Round 4!,Tidak Bisa Menyerah Sampai Ronde 4!,ยอมไม่ได้จนกว่าจะยก 4!,4. Tura Kadar Teslim Olamaz!
TXT_CHANGE_NAME_SUCCESSFULLY,Change Name Successfully!,Đổi Tên Thành Công!,改名成功！,無事に名前変更完了！,Changez De Nom Avec Succès !,Namen Erfolgreich Ändern!,¡Cambie El Nombre Con Éxito!,Altere O Nome Com Sucesso!,تم تغيير الاسم بنجاح!,Имя Успешно Изменено!,이름 변경 성공!,Cambiare Nome Con Successo!,नाम सफलतापूर्वक बदलें!,Matagumpay Na Baguhin Ang Pangalan!,Berhasil Mengubah Nama!,เปลี่ยนชื่อสำเร็จแล้ว!,Adı Başarıyla Değiştir!
TXT_COMING_SOON,Coming Soon,Sắp Ra Mắt,即将推出,近日公開,À Venir,Demnächst,Muy Pronto,Em Breve,قريباً,Вскоре,곧,Prossimamente,जल्द आ रहा है,Malapit Na,Segera Hadir,เร็วๆ นี้,Yakında Gelecek
TXT_COPIED_TO_CLIPBOARD,Copied To Clipboard,Sao Chép Vào Clipboard,复制到剪贴板,クリップボードにコピーされました,Copié Dans Le Presse-Papier,In Die Zwischenablage Kopiert,Copiado Al Portapapeles,Copiado Para A Área De Transferência,نسخ إلى الحافظة,Скопировано В Буфер Обмена,클립보드에 복사됨,Copiato Negli Appunti,क्लिपबोर्ड पर नकल,Kinopya Sa Clipboard,Disalin Ke Papan Klip,คัดลอกไปที่คลิปบอร์ดแล้ว,Panoya Kopyalandı
TXT_FIRST_LETTER_CANNOT_BE_SPACE,First Letter Cannot Be Space !,Chữ Cái Đầu Tiên Không Thể Là Khoảng Trắng!,第一个字母不能是空格！,最初の文字をスペースにすることはできません。,La Première Lettre Ne Peut Pas Être Un Espace !,Der Erste Buchstabe Darf Kein Leerzeichen Sein!,¡La Primera Letra No Puede Ser Un Espacio!,A Primeira Letra Não Pode Ser Espaço!,لا يمكن أن يكون الحرف الأول مسافة!,Первая Буква Не Может Быть Пробелом!,첫 글자는 공백이 될 수 없습니다!,La Prima Lettera Non Può Essere Uno Spazio!,पहला अक्षर स्पेस नहीं हो सकता!,Ang Unang Titik Ay Hindi Maaaring Maging Espasyo!,Huruf Pertama Tidak Boleh Spasi!,ตัวอักษรตัวแรกไม่สามารถเว้นวรรคได้ !,Ilk Harf Boşluk Olamaz!
TXT_HEADER_1,1% possibility is enough to change everything!,1% khả năng là đủ để thay đổi mọi thứ!,1%的可能性就足以改变一切！,1%の可能性ですべてが変わる！,1% de possibilité suffit à tout changer !,"Eine Wahrscheinlichkeit von 1 % reicht aus, um alles zu ändern!",¡El 1% de posibilidad es suficiente para cambiarlo todo!,1% de possibilidade é suficiente para mudar tudo!,احتمالية 1٪ كافية لتغيير كل شيء!,"Достаточно 1% вероятности, чтобы все изменить!",1%의 가능성으로 모든 것을 바꿀 수 있습니다!,Basta l'1% di possibilità per cambiare tutto!,1% संभावना सब कुछ बदलने के लिए काफी है!,Ang 1% na posibilidad ay sapat na upang baguhin ang lahat!,Kemungkinan 1% sudah cukup untuk mengubah segalanya!,ความเป็นไปได้ 1% ก็เพียงพอแล้วที่จะเปลี่ยนแปลงทุกสิ่ง!,%1 ihtimal her şeyi değiştirmeye yeter!
TXT_HEADER_2,"Roses are red, Violets are blue, Sugar is sweet, And so are you","Hoa hồng màu đỏ, Hoa violet màu xanh, Đường thì ngọt. Và em cũng thế",玫瑰是红色的，紫罗兰是蓝色的，糖是甜的，你也是,バラは赤、スミレは青、砂糖は甘い、そしてあなたもそうです,"Les roses sont rouges, les violettes sont bleues, le sucre est doux, et toi aussi","Rosen sind rot, Veilchen sind blau, Zucker ist süß und du auch","Las rosas son rojas, las violetas son azules, el azúcar es dulce, y tú también.","As rosas são vermelhas, as violetas são azuis, o açúcar é doce e você também.",الورود حمراء ، والبنفسج زرقاء ، والسكر حلو ، وأنت كذلك,"Розы красные, Фиалки синие, Сахар сладкий, И ты тоже","장미는 붉고, 제비꽃은 파랗고, 설탕은 달콤하고, 너도 그렇다.","Le rose sono rosse, le viole sono blu, lo zucchero è dolce, e anche tu","गुलाब लाल हैं, बैंगनी नीले हैं, चीनी मीठी है, और आप भी मीठे हैं","Ang mga rosas ay pula, Violets ay asul, Asukal ay matamis, At gayon din ikaw","Mawar itu merah, Violet itu biru, Gula itu manis, Begitu juga kamu",กุหลาบเป็นสีแดง สีม่วงเป็นสีฟ้า น้ำตาลมีรสหวาน และคุณก็เช่นกัน,"Güller kırmızı, Menekşeler mavi, Şeker tatlı, Sen de öylesin."
TXT_HEADER_3,Don't worry about failure; You only have to be right once,Đừng lo lắng về thất bại; Bạn chỉ phải đúng một lần,不要担心失败；你只需要做对一次,失敗を心配する必要はありません。正しくなるのは一度だけでいい,Ne vous inquiétez pas de l'échec ; Il suffit d'avoir raison une seule fois,Machen Sie sich keine Sorgen über Misserfolge; Man muss nur einmal Recht haben,No te preocupes por el fracaso; Solo tienes que acertar una vez,Não se preocupe com o fracasso; Você só tem que estar certo uma vez,لا تقلق بشأن الفشل. ما عليك سوى أن تكون على حق مرة واحدة,Не беспокойтесь о неудачах; Вы должны быть правы только один раз,실패에 대해 걱정하지 마십시오. 한 번만 맞으면 돼,Non preoccuparti del fallimento; Devi avere ragione solo una volta,विफलता के बारे में चिंता मत करो; आपको केवल एक बार सही होना होगा,Huwag mag-alala tungkol sa kabiguan; Minsan ka lang maging tama,Jangan khawatir tentang kegagalan; Anda hanya harus benar sekali,ไม่ต้องกังวลกับความล้มเหลว คุณต้องถูกต้องเพียงครั้งเดียว,Başarısızlık konusunda endişelenmeyin; Sadece bir kez haklı olmalısın
TXT_LINK_ACCOUNT_COMPLETED,Link Account Completed,Tài Khoản Liên Kết Đã Hoàn Tất,关联账户完成,アカウント連携完了,Lier Le Compte Terminé,Verknüpfung Des Kontos Abgeschlossen,Vincular Cuenta Completada,Vinculação De Conta Concluída,اكتمل حساب الرابط,Привязка Аккаунта Завершена,계정 연결 완료,Account Di Collegamento Completato,लिंक खाता पूरा हुआ,Nakumpleto Ang Link Ng Account,Tautan Akun Selesai,เชื่อมโยงบัญชีเรียบร้อยแล้ว,Hesap Bağlantısı Tamamlandı
TXT_LINK_ACCOUNT_FAILED,Link Account Failed,Tài Khoản Liên Kết Không Thành Công,关联账户失败,アカウントのリンクに失敗しました,Échec De L'association Du Compte,Das Verknüpfen Des Kontos Ist Fehlgeschlagen,Error Al Vincular La Cuenta.,Vincular Conta Falhou,فشل حساب الارتباط,Привязать Аккаунт Не Удалось,계정 연결 실패,Collegamento Dell'account Non Riuscito,खाता लिंक करना विफल रहा,Nabigo Ang Link Ng Account,Tautan Akun Gagal,การเชื่อมโยงบัญชีล้มเหลว,Hesap Bağlantısı Başarısız Oldu
TXT_LOGIN_OTHER_DEVICE,Your account is currently logged in on another device,Tài khoản của bạn hiện đang được đăng nhập trên một thiết bị khác,您的帐户当前已在另一台设备上登录,あなたのアカウントは現在別のデバイスにログインしています,Votre compte est actuellement connecté sur un autre appareil,Ihr Konto ist derzeit auf einem anderen Gerät angemeldet,Su cuenta actualmente está iniciada en otro dispositivo,Sua conta está conectada em outro dispositivo,تم تسجيل الدخول إلى حسابك حاليًا على جهاز آخر,В вашу учетную запись в настоящее время выполнен вход на другом устройстве,귀하의 계정은 현재 다른 기기에 로그인되어 있습니다,Il tuo account è attualmente connesso su un altro dispositivo,आपका खाता वर्तमान में किसी अन्य डिवाइस पर लॉग इन है,Ang iyong account ay kasalukuyang naka-log in sa isa pang device,Akun Anda saat ini masuk di perangkat lain,ขณะนี้บัญชีของคุณเข้าสู่ระบบอยู่ในอุปกรณ์อื่น,Hesabınız şu anda başka bir cihazda oturum açmış durumda
TXT_NICKNAME_LENGTH_ERROR,Nickname's Length Must Be In 3-15 Characters,Độ Dài Của Biệt Hiệu Phải Từ 3-15 Ký Tự,昵称长度必须在3-15个字符之间,ニックネームの長さは 3 ～ 15 文字である必要があります,La Longueur Du Surnom Doit Être Comprise Entre 3 Et 15 Caractères,Der Spitzname Muss Zwischen 3 Und 15 Zeichen Lang Sein,La Longitud Del Apodo Debe Tener Entre 3 Y 15 Caracteres.,O Comprimento Do Apelido Deve Ter De 3 A 15 Caracteres,يجب أن يتكون طول اللقب من 3 إلى 15 حرفًا,Длина Ника Должна Быть От 3 До 15 Символов,닉네임 길이는 3~15자여야 합니다.,La Lunghezza Del Nickname Deve Essere Compresa Tra 3 E 15 Caratteri,उपनाम की लंबाई 3-15 अक्षरों में होनी चाहिए,Ang Haba Ng Palayaw Ay Dapat Nasa 3-15 Character,Panjang Nama Panggilan Harus Antara 3-15 Karakter,ชื่อเล่นต้องมีความยาว 3-15 ตัวอักษร,Takma Adın Uzunluğu 3-15 Karakterden Oluşmalıdır
TXT_NOT_ENOUGH_CARD,Not Enough Card Fragment!,Mảnh Thẻ Không Đủ!,卡牌碎片不够！,カードの欠片が足りません！,Pas Assez De Fragment De Carte !,Nicht Genug Kartenfragment!,¡No Hay Suficiente Fragmento De Tarjeta!,Fragmento De Cartão Insuficiente!,لا يوجد جزء كاف من البطاقة!,Недостаточно Фрагмента Карты!,카드 조각이 부족해요!,Frammento Di Carta Insufficiente!,पर्याप्त कार्ड टुकड़ा नहीं!,Hindi Sapat Na Fragment Ng Card!,Pecahan Kartu Tidak Cukup!,เศษการ์ดไม่พอ!,Yeterli Kart Parçası Yok!
